Date,Adj Close**
11-Aug-23,"35,281.40"
1-Aug-23,"35,281.40"
1-Jul-23,"35,559.53"
1-Jun-23,"34,407.60"
1-May-23,"32,908.27"
1-Apr-23,"34,098.16"
1-Mar-23,"33,274.15"
1-Feb-23,"32,656.70"
1-Jan-23,"34,086.04"
1-Dec-22,"33,147.25"
1-Nov-22,"34,589.77"
1-Oct-22,"32,732.95"
1-Sep-22,"28,725.51"
1-Aug-22,"31,510.43"
1-Jul-22,"32,845.13"
1-Jun-22,"30,775.43"
1-May-22,"32,990.12"
1-Apr-22,"32,977.21"
1-Mar-22,"34,678.35"
1-Feb-22,"33,892.60"
1-Jan-22,"35,131.86"
1-Dec-21,"36,338.30"
1-Nov-21,"34,483.72"
1-Oct-21,"35,819.56"
1-Sep-21,"33,843.92"
1-Aug-21,"35,360.73"
1-Jul-21,"34,935.47"
1-Jun-21,"34,502.51"
1-May-21,"34,529.45"
1-Apr-21,"33,874.85"
1-Mar-21,"32,981.55"
1-Feb-21,"30,932.37"
1-Jan-21,"29,982.62"
1-Dec-20,"30,606.48"
1-Nov-20,"29,638.64"
1-Oct-20,"26,501.60"
1-Sep-20,"27,781.70"
1-Aug-20,"28,430.05"
1-Jul-20,"26,428.32"
1-Jun-20,"25,812.88"
1-May-20,"25,383.11"
1-Apr-20,"24,345.72"
1-Mar-20,"21,917.16"
1-Feb-20,"25,409.36"
1-Jan-20,"28,256.03"
1-Dec-19,"28,538.44"
1-Nov-19,"28,051.41"
1-Oct-19,"27,046.23"
1-Sep-19,"26,916.83"
1-Aug-19,"26,403.28"
1-Jul-19,"26,864.27"
1-Jun-19,"26,599.96"
1-May-19,"24,815.04"
1-Apr-19,"26,592.91"
1-Mar-19,"25,928.68"
1-Feb-19,"25,916.00"
1-Jan-19,"24,999.67"
1-Dec-18,"23,327.46"
1-Nov-18,"25,538.46"
1-Oct-18,"25,115.76"
1-Sep-18,"26,458.31"
1-Aug-18,"25,964.82"
1-Jul-18,"25,415.19"
1-Jun-18,"24,271.41"
1-May-18,"24,415.84"
1-Apr-18,"24,163.15"
1-Mar-18,"24,103.11"
1-Feb-18,"25,029.20"
1-Jan-18,"26,149.39"
1-Dec-17,"24,719.22"
1-Nov-17,"24,272.35"
1-Oct-17,"23,377.24"
1-Sep-17,"22,405.09"
1-Aug-17,"21,948.10"
1-Jul-17,"21,891.12"
1-Jun-17,"21,349.63"
1-May-17,"21,008.65"
1-Apr-17,"20,940.51"
1-Mar-17,"20,663.22"
1-Feb-17,"20,812.24"
1-Jan-17,"19,864.09"
1-Dec-16,"19,762.60"
1-Nov-16,"19,123.58"
1-Oct-16,"18,142.42"
1-Sep-16,"18,308.15"
1-Aug-16,"18,400.88"
1-Jul-16,"18,432.24"
1-Jun-16,"17,929.99"
1-May-16,"17,787.20"
1-Apr-16,"17,773.64"
1-Mar-16,"17,685.09"
1-Feb-16,"16,516.50"
1-Jan-16,"16,466.30"
1-Dec-15,"17,425.03"
1-Nov-15,"17,719.92"
1-Oct-15,"17,663.54"
1-Sep-15,"16,284.70"
1-Aug-15,"16,528.03"
1-Jul-15,"17,689.86"
1-Jun-15,"17,619.51"
1-May-15,"18,010.68"
1-Apr-15,"17,840.52"
1-Mar-15,"17,776.12"
1-Feb-15,"18,132.70"
1-Jan-15,"17,164.95"
1-Dec-14,"17,823.07"
1-Nov-14,"17,828.24"
1-Oct-14,"17,390.52"
1-Sep-14,"17,042.90"
1-Aug-14,"17,098.45"
1-Jul-14,"16,563.30"
1-Jun-14,"16,826.60"
1-May-14,"16,717.17"
1-Apr-14,"16,580.84"
1-Mar-14,"16,457.66"
1-Feb-14,"16,321.71"
1-Jan-14,"15,698.85"
1-Dec-13,"16,576.66"
1-Nov-13,"16,086.41"
1-Oct-13,"15,545.75"
1-Sep-13,"15,129.67"
1-Aug-13,"14,810.31"
1-Jul-13,"15,499.54"
1-Jun-13,"14,909.60"
1-May-13,"15,115.57"
1-Apr-13,"14,839.80"
1-Mar-13,"14,578.54"
1-Feb-13,"14,054.49"
1-Jan-13,"13,860.58"
1-Dec-12,"13,104.14"
1-Nov-12,"13,025.58"
1-Oct-12,"13,096.46"
1-Sep-12,"13,437.13"
1-Aug-12,"13,090.84"
1-Jul-12,"13,008.68"
1-Jun-12,"12,880.09"
1-May-12,"12,393.45"
1-Apr-12,"13,213.63"
1-Mar-12,"13,212.04"
1-Feb-12,"12,952.07"
1-Jan-12,"12,632.91"
1-Dec-11,"12,217.56"
1-Nov-11,"12,045.68"
1-Oct-11,"11,955.01"
1-Sep-11,"10,913.38"
1-Aug-11,"11,613.53"
1-Jul-11,"12,143.24"
1-Jun-11,"12,414.34"
1-May-11,"12,569.79"
1-Apr-11,"12,810.54"
1-Mar-11,"12,319.73"
1-Feb-11,"12,226.34"
1-Jan-11,"11,891.93"
1-Dec-10,"11,577.51"
1-Nov-10,"11,006.02"
1-Oct-10,"11,118.49"
1-Sep-10,"10,788.05"
1-Aug-10,"10,014.72"
1-Jul-10,"10,465.94"
1-Jun-10,"9,774.02"
1-May-10,"10,136.63"
1-Apr-10,"11,008.61"
1-Mar-10,"10,856.63"
1-Feb-10,"10,325.26"
1-Jan-10,"10,067.33"
1-Dec-09,"10,428.05"
1-Nov-09,"10,344.84"
1-Oct-09,"9,712.73"
1-Sep-09,"9,712.28"
1-Aug-09,"9,496.28"
1-Jul-09,"9,171.61"
1-Jun-09,"8,447.00"
1-May-09,"8,500.33"
1-Apr-09,"8,168.12"
1-Mar-09,"7,608.92"
1-Feb-09,"7,062.93"
1-Jan-09,"8,000.86"
1-Dec-08,"8,776.39"
1-Nov-08,"8,829.04"
1-Oct-08,"9,325.01"
1-Sep-08,"10,850.66"
1-Aug-08,"11,543.96"
1-Jul-08,"11,378.02"
1-Jun-08,"11,350.01"
1-May-08,"12,638.32"
1-Apr-08,"12,820.13"
1-Mar-08,"12,262.89"
1-Feb-08,"12,266.39"
1-Jan-08,"12,650.36"
1-Dec-07,"13,264.82"
1-Nov-07,"13,371.72"
1-Oct-07,"13,930.01"
1-Sep-07,"13,895.63"
1-Aug-07,"13,357.74"
1-Jul-07,"13,211.99"
1-Jun-07,"13,408.62"
1-May-07,"13,627.64"
1-Apr-07,"13,062.91"
1-Mar-07,"12,354.35"
1-Feb-07,"12,268.63"
1-Jan-07,"12,621.69"
1-Dec-06,"12,463.15"
1-Nov-06,"12,221.93"
1-Oct-06,"12,080.73"
1-Sep-06,"11,679.07"
1-Aug-06,"11,381.15"
1-Jul-06,"11,185.68"
1-Jun-06,"11,150.22"
1-May-06,"11,168.31"
1-Apr-06,"11,367.14"
1-Mar-06,"11,109.32"
1-Feb-06,"10,993.41"
1-Jan-06,"10,864.86"
1-Dec-05,"10,717.50"
1-Nov-05,"10,805.87"
1-Oct-05,"10,440.07"
1-Sep-05,"10,568.70"
1-Aug-05,"10,481.60"
1-Jul-05,"10,640.91"
1-Jun-05,"10,274.97"
1-May-05,"10,467.48"
1-Apr-05,"10,192.51"
1-Mar-05,"10,503.76"
1-Feb-05,"10,766.23"
1-Jan-05,"10,489.94"
1-Dec-04,"10,783.01"
1-Nov-04,"10,428.02"
1-Oct-04,"10,027.47"
1-Sep-04,"10,080.27"
1-Aug-04,"10,173.92"
1-Jul-04,"10,139.71"
1-Jun-04,"10,435.48"
1-May-04,"10,188.45"
1-Apr-04,"10,225.57"
1-Mar-04,"10,357.70"
1-Feb-04,"10,583.92"
1-Jan-04,"10,488.07"
1-Dec-03,"10,453.92"
1-Nov-03,"9,782.46"
1-Oct-03,"9,801.12"
1-Sep-03,"9,275.06"
1-Aug-03,"9,415.82"
1-Jul-03,"9,233.80"
1-Jun-03,"8,985.44"
1-May-03,"8,850.26"
1-Apr-03,"8,480.09"
1-Mar-03,"7,992.13"
1-Feb-03,"7,891.08"
1-Jan-03,"8,053.81"
1-Dec-02,"8,341.63"
1-Nov-02,"8,896.09"
1-Oct-02,"8,397.03"
1-Sep-02,"7,591.93"
1-Aug-02,"8,663.50"
1-Jul-02,"8,736.59"
1-Jun-02,"9,243.26"
1-May-02,"9,925.25"
1-Apr-02,"9,946.22"
1-Mar-02,"10,403.94"
1-Feb-02,"10,106.13"
1-Jan-02,"9,920.00"
1-Dec-01,"10,021.57"
1-Nov-01,"9,851.56"
1-Oct-01,"9,075.14"
1-Sep-01,"8,847.56"
1-Aug-01,"9,949.75"
1-Jul-01,"10,522.81"
1-Jun-01,"10,502.40"
1-May-01,"10,911.94"
1-Apr-01,"10,734.97"
1-Mar-01,"9,878.78"
1-Feb-01,"10,495.28"
1-Jan-01,"10,887.36"
1-Dec-00,"10,787.99"
1-Nov-00,"10,414.49"
1-Oct-00,"10,971.14"
1-Sep-00,"10,650.92"
1-Aug-00,"11,215.10"
1-Jul-00,"10,521.98"
1-Jun-00,"10,447.89"
1-May-00,"10,522.33"
1-Apr-00,"10,733.91"
1-Mar-00,"10,921.92"
1-Feb-00,"10,128.31"
1-Jan-00,"10,940.53"
1-Dec-99,"11,497.12"
1-Nov-99,"10,877.81"
1-Oct-99,"10,729.86"
1-Sep-99,"10,336.95"
1-Aug-99,"10,829.28"
1-Jul-99,"10,655.15"
1-Jun-99,"10,970.80"
1-May-99,"10,559.74"
1-Apr-99,"10,789.04"
1-Mar-99,"9,786.16"
1-Feb-99,"9,306.58"
1-Jan-99,"9,358.83"
1-Dec-98,"9,181.43"
1-Nov-98,"9,116.55"
1-Oct-98,"8,592.10"
1-Sep-98,"7,842.62"
1-Aug-98,"7,539.07"
1-Jul-98,"8,883.29"
1-Jun-98,"8,952.02"
1-May-98,"8,899.95"
1-Apr-98,"9,063.37"
1-Mar-98,"8,799.81"
1-Feb-98,"8,545.72"
1-Jan-98,"7,906.50"
1-Dec-97,"7,908.30"
1-Nov-97,"7,823.10"
1-Oct-97,"7,442.10"
1-Sep-97,"7,945.30"
1-Aug-97,"7,622.40"
1-Jul-97,"8,222.60"
1-Jun-97,"7,672.80"
1-May-97,"7,331.00"
1-Apr-97,"7,009.00"
1-Mar-97,"6,583.48"
1-Feb-97,"6,877.74"
1-Jan-97,"6,813.09"
1-Dec-96,"6,448.27"
1-Nov-96,"6,521.70"
1-Oct-96,"6,029.38"
1-Sep-96,"5,882.17"
1-Aug-96,"5,616.21"
1-Jul-96,"5,528.91"
1-Jun-96,"5,654.63"
1-May-96,"5,643.18"
1-Apr-96,"5,569.08"
1-Mar-96,"5,587.14"
1-Feb-96,"5,485.62"
1-Jan-96,"5,395.30"
1-Dec-95,"5,117.12"
1-Nov-95,"5,074.49"
1-Oct-95,"4,755.48"
1-Sep-95,"4,789.08"
1-Aug-95,"4,610.56"
1-Jul-95,"4,708.47"
1-Jun-95,"4,556.10"
1-May-95,"4,465.14"
1-Apr-95,"4,321.27"
1-Mar-95,"4,157.69"
1-Feb-95,"4,011.05"
1-Jan-95,"3,843.86"
1-Dec-94,"3,834.44"
1-Nov-94,"3,739.23"
1-Oct-94,"3,908.12"
1-Sep-94,"3,843.19"
1-Aug-94,"3,913.42"
1-Jul-94,"3,764.50"
1-Jun-94,"3,624.96"
1-May-94,"3,758.37"
1-Apr-94,"3,681.69"
1-Mar-94,"3,635.96"
1-Feb-94,"3,832.02"
1-Jan-94,"3,978.36"
1-Dec-93,"3,754.09"
1-Nov-93,"3,683.95"
1-Oct-93,"3,680.59"
1-Sep-93,"3,555.12"
1-Aug-93,"3,651.25"
1-Jul-93,"3,539.47"
1-Jun-93,"3,516.08"
1-May-93,"3,527.43"
1-Apr-93,"3,427.55"
1-Mar-93,"3,435.11"
1-Feb-93,"3,370.81"
1-Jan-93,"3,310.00"
1-Dec-92,"3,301.11"
1-Nov-92,"3,305.20"
1-Oct-92,"3,226.30"
1-Sep-92,"3,271.70"
1-Aug-92,"3,257.40"
1-Jul-92,"3,393.80"
1-Jun-92,"3,318.50"
1-May-92,"3,396.90"
1-Apr-92,"3,359.10"
1-Mar-92,"3,235.50"
1-Feb-92,"3,267.70"